t,kappa,nof,cycle
4025,1.0781671159029649,sdnof,30
4027,1.075268817204301,sdnof,30
4028,1.0723860589812333,sdnof,30
4029,1.0695187165775402,sdnof,30
4030,1.0695187165775402,sdnof,30
4033,1.0695187165775402,sdnof,30
4034,1.0695187165775402,sdnof,30
4035,1.0695187165775402,sdnof,30
4036,1.0695187165775402,sdnof,30
4038,1.0695187165775402,sdnof,30
4039,1.0695187165775402,sdnof,30
4054,1.0666666666666667,sdnof,30
4056,1.0610079575596818,sdnof,30
4063,1.0610079575596818,sdnof,30
4064,1.0610079575596818,sdnof,30
4066,1.0610079575596818,sdnof,30
4068,1.0610079575596818,sdnof,30
4069,1.0610079575596818,sdnof,30
4070,1.0610079575596818,sdnof,30
4088,1.0582010582010581,sdnof,30
4090,1.0554089709762533,sdnof,30
4092,1.0526315789473684,sdnof,30
4093,1.0526315789473684,sdnof,30
4094,1.0498687664041995,sdnof,30
4095,1.0498687664041995,sdnof,30
4096,1.0498687664041995,sdnof,30
4098,1.0498687664041995,sdnof,30
4100,1.0498687664041995,sdnof,30
4113,1.0471204188481675,sdnof,30
4117,1.0443864229765014,sdnof,30
4123,1.0443864229765014,sdnof,30
4125,1.0443864229765014,sdnof,30
4126,1.0443864229765014,sdnof,30
4128,1.0443864229765014,sdnof,30
4143,1.0416666666666667,sdnof,30
4153,1.0416666666666667,sdnof,30
4154,1.0389610389610389,sdnof,30
4155,1.0389610389610389,sdnof,30
4158,1.0389610389610389,sdnof,30
4159,1.0389610389610389,sdnof,30
4180,1.0362694300518134,sdnof,30
4181,1.0335917312661498,sdnof,30
4183,1.0335917312661498,sdnof,30
4184,1.0335917312661498,sdnof,30
4185,1.0335917312661498,sdnof,30
4186,1.0335917312661498,sdnof,30
4188,1.0335917312661498,sdnof,30
4212,1.0309278350515463,sdnof,30
4218,1.0309278350515463,sdnof,30
4219,1.0309278350515463,sdnof,30
4220,1.0309278350515463,sdnof,30
4240,1.0282776349614395,sdnof,30
4243,1.0282776349614395,sdnof,30
4248,1.0282776349614395,sdnof,30
4267,1.0256410256410255,sdnof,30
4268,1.0230179028132993,sdnof,30
4269,1.0204081632653061,sdnof,30
4273,1.0178117048346056,sdnof,30
4274,1.0178117048346056,sdnof,30
4275,1.0178117048346056,sdnof,30
4277,1.0178117048346056,sdnof,30
4279,1.0178117048346056,sdnof,30
4307,1.0178117048346056,sdnof,30
4333,1.0178117048346056,sdnof,30
4334,1.015228426395939,sdnof,30
4336,1.0126582278481013,sdnof,30
4337,1.0126582278481013,sdnof,30
4338,1.0126582278481013,sdnof,30
4364,1.0126582278481013,sdnof,30
4369,1.0126582278481013,sdnof,30
4394,1.0126582278481013,sdnof,30
4397,1.0126582278481013,sdnof,30
4398,1.0126582278481013,sdnof,30
4423,1.0126582278481013,sdnof,30
4427,1.0126582278481013,sdnof,30
4454,1.0101010101010102,sdnof,30
4458,1.0101010101010102,sdnof,30
4459,1.0101010101010102,sdnof,30
4483,1.0101010101010102,sdnof,30
