t,kappa,nof,cycle
2407,1.0309278350515463,fdnof,30
2410,1.0309278350515463,fdnof,30
2411,1.0309278350515463,fdnof,30
2417,1.0309278350515463,fdnof,30
2419,1.0309278350515463,fdnof,30
2420,1.0309278350515463,fdnof,30
2434,1.0282776349614395,fdnof,30
2441,1.0282776349614395,fdnof,30
2446,1.0282776349614395,fdnof,30
2447,1.0282776349614395,fdnof,30
2450,1.0282776349614395,fdnof,30
2465,1.0282776349614395,fdnof,30
2470,1.0282776349614395,fdnof,30
2472,1.0282776349614395,fdnof,30
2479,1.0282776349614395,fdnof,30
2480,1.0282776349614395,fdnof,30
2486,1.0256410256410255,fdnof,30
2488,1.0230179028132993,fdnof,30
2497,1.0230179028132993,fdnof,30
2524,1.0204081632653061,fdnof,30
2531,1.0204081632653061,fdnof,30
2532,1.0204081632653061,fdnof,30
2537,1.0204081632653061,fdnof,30
2540,1.0204081632653061,fdnof,30
2557,1.0204081632653061,fdnof,30
2559,1.0204081632653061,fdnof,30
2561,1.0204081632653061,fdnof,30
2564,1.0204081632653061,fdnof,30
2570,1.0204081632653061,fdnof,30
2585,1.0178117048346056,fdnof,30
2587,1.0178117048346056,fdnof,30
2591,1.0178117048346056,fdnof,30
2596,1.0178117048346056,fdnof,30
2597,1.0178117048346056,fdnof,30
2599,1.0178117048346056,fdnof,30
2600,1.0178117048346056,fdnof,30
2611,1.015228426395939,fdnof,30
2612,1.0126582278481013,fdnof,30
2615,1.0126582278481013,fdnof,30
2617,1.0126582278481013,fdnof,30
2618,1.0126582278481013,fdnof,30
2621,1.0126582278481013,fdnof,30
2630,1.0126582278481013,fdnof,30
2651,1.0126582278481013,fdnof,30
2677,1.0126582278481013,fdnof,30
2678,1.0126582278481013,fdnof,30
2681,1.0101010101010102,fdnof,30
2687,1.0101010101010102,fdnof,30
2690,1.0101010101010102,fdnof,30
2720,1.0101010101010102,fdnof,30
2721,1.0101010101010102,fdnof,30
2733,1.0075566750629723,fdnof,30
2738,1.0075566750629723,fdnof,30
2741,1.0075566750629723,fdnof,30
2742,1.0075566750629723,fdnof,30
2747,1.0075566750629723,fdnof,30
2750,1.0075566750629723,fdnof,30
2751,1.0075566750629723,fdnof,30
2768,1.0075566750629723,fdnof,30
2771,1.0075566750629723,fdnof,30
2798,1.0075566750629723,fdnof,30
2831,1.0075566750629723,fdnof,30
2832,1.0075566750629723,fdnof,30
2840,1.0075566750629723,fdnof,30
2841,1.0075566750629723,fdnof,30
2858,1.0075566750629723,fdnof,30
2860,1.0075566750629723,fdnof,30
2861,1.0075566750629723,fdnof,30
2870,1.0075566750629723,fdnof,30
2882,1.0050251256281406,fdnof,30
2890,1.0050251256281406,fdnof,30
2892,1.0050251256281406,fdnof,30
2920,1.0050251256281406,fdnof,30
2922,1.0050251256281406,fdnof,30
2923,1.0050251256281406,fdnof,30
2931,1.0050251256281406,fdnof,30
2946,1.0025062656641603,fdnof,30
2961,1.0025062656641603,fdnof,30
2978,1.0025062656641603,fdnof,30
2987,1.0025062656641603,fdnof,30
2990,1.0025062656641603,fdnof,30
3008,1.0025062656641603,fdnof,30
3012,1.0025062656641603,fdnof,30
3021,1.0025062656641603,fdnof,30
3038,1.0025062656641603,fdnof,30
3043,1.0025062656641603,fdnof,30
3050,1.0025062656641603,fdnof,30
3051,1.0025062656641603,fdnof,30
3058,1.0,fdnof,30
3069,1.0,fdnof,30
3080,1.0,fdnof,30
3081,1.0,fdnof,30
3107,1.0,fdnof,30
3108,1.0,fdnof,30
3110,1.0,fdnof,30
3128,1.0,fdnof,30
3141,1.0,fdnof,30
3155,1.0,fdnof,30
3163,1.0,fdnof,30
3170,1.0,fdnof,30
3171,1.0,fdnof,30
3188,1.0,fdnof,30
3189,1.0,fdnof,30
3220,1.0,fdnof,30
3231,1.0,fdnof,30
3249,1.0,fdnof,30
3282,1.0,fdnof,30
3283,1.0,fdnof,30
3288,1.0,fdnof,30
3291,1.0,fdnof,30
3308,1.0,fdnof,30
3312,1.0,fdnof,30
3321,1.0,fdnof,30
3322,1.0,fdnof,30
3340,1.0,fdnof,30
3342,1.0,fdnof,30
3352,1.0,fdnof,30
3373,1.0,fdnof,30
3381,1.0,fdnof,30
3382,1.0,fdnof,30
3402,1.0,fdnof,30
3403,1.0,fdnof,30
3404,1.0,fdnof,30
3410,1.0,fdnof,30
3411,1.0,fdnof,30
3460,1.0,fdnof,30
3462,1.0,fdnof,30
3463,1.0,fdnof,30
3471,1.0,fdnof,30
3472,1.0,fdnof,30
3486,1.0,fdnof,30
3494,1.0,fdnof,30
3501,1.0,fdnof,30
3502,1.0,fdnof,30
3531,1.0,fdnof,30
3532,1.0,fdnof,30
3533,1.0,fdnof,30
3548,1.0,fdnof,30
3552,1.0,fdnof,30
3553,1.0,fdnof,30
3554,1.0,fdnof,30
3579,1.0,fdnof,30
3580,1.0,fdnof,30
3585,1.0,fdnof,30
3588,1.0,fdnof,30
3592,1.0,fdnof,30
3593,1.0,fdnof,30
3600,2.0,fdnof,30
3604,1.9702970297029703,fdnof,30
3605,1.9411764705882353,fdnof,30
3606,1.875,fdnof,30
3607,1.824228028503563,fdnof,30
3608,1.8056872037914693,fdnof,30
3609,1.7971360381861574,fdnof,30
3610,1.7582938388625593,fdnof,30
3611,1.6278538812785388,fdnof,30
3612,1.4559139784946236,fdnof,30
3613,1.36864406779661,fdnof,30
3614,1.2895833333333333,fdnof,30
3615,1.2594142259414225,fdnof,30
3616,1.231732776617954,fdnof,30
3617,1.1904761904761905,fdnof,30
3618,1.1778242677824269,fdnof,30
3619,1.1561181434599157,fdnof,30
3620,1.1477516059957173,fdnof,30
3621,1.1444201312910285,fdnof,30
3622,1.123076923076923,fdnof,30
3623,1.1470588235294117,fdnof,30
3624,1.1565420560747663,fdnof,30
3625,1.1770334928229664,fdnof,30
3626,1.2009803921568627,fdnof,30
3627,1.2703412073490814,fdnof,30
3628,1.332394366197183,fdnof,30
3629,1.3478260869565217,fdnof,30
3630,1.3841463414634145,fdnof,30
3631,1.6151079136690647,fdnof,30
3632,1.6629213483146068,fdnof,30
3633,1.7254901960784315,fdnof,30
3634,1.7165354330708662,fdnof,30
3635,1.815126050420168,fdnof,30
3636,2.0140845070422535,fdnof,30
3637,2.0829268292682928,fdnof,30
3638,2.3224043715846996,fdnof,30
3639,2.4444444444444446,fdnof,30
3640,2.875,fdnof,30
3641,2.985294117647059,fdnof,30
3642,3.0846153846153848,fdnof,30
3643,3.389830508474576,fdnof,30
3644,3.4782608695652173,fdnof,30
3649,3.9603960396039604,fdnof,30
3650,4.040404040404041,fdnof,30
3653,4.705882352941177,fdnof,30
3654,5.47945205479452,fdnof,30
3655,5.633802816901408,fdnof,30
3657,6.349206349206349,fdnof,30
3660,6.349206349206349,fdnof,30
3661,8.0,fdnof,30
3662,8.695652173913043,fdnof,30
3665,9.30232558139535,fdnof,30
3666,9.30232558139535,fdnof,30
3668,10.81081081081081,fdnof,30
3670,10.81081081081081,fdnof,30
