t,kappa,nof,cycle
2077,1.0,sdnof-7minutes,10
2084,1.0,sdnof-7minutes,10
2091,1.0,sdnof-7minutes,10
2095,1.0,sdnof-7minutes,10
2107,1.0,sdnof-7minutes,10
2108,1.0,sdnof-7minutes,10
2117,1.0,sdnof-7minutes,10
2120,1.0,sdnof-7minutes,10
2127,1.0,sdnof-7minutes,10
2131,1.0,sdnof-7minutes,10
2132,1.0,sdnof-7minutes,10
2137,1.0,sdnof-7minutes,10
2139,1.0,sdnof-7minutes,10
2142,1.0,sdnof-7minutes,10
2143,1.0,sdnof-7minutes,10
2149,1.0,sdnof-7minutes,10
2154,1.0,sdnof-7minutes,10
2157,1.0,sdnof-7minutes,10
2160,1.0,sdnof-7minutes,10
2163,1.0,sdnof-7minutes,10
2168,1.0,sdnof-7minutes,10
2172,1.0,sdnof-7minutes,10
2182,1.0,sdnof-7minutes,10
2183,1.0,sdnof-7minutes,10
2191,1.0,sdnof-7minutes,10
2201,0.9704433497536946,sdnof-7minutes,10
2202,0.5394990366088632,sdnof-7minutes,10
2203,0.2996742671009772,sdnof-7minutes,10
2204,0.011406844106463879,sdnof-7minutes,10
2205,0.0,sdnof-7minutes,10
2206,0.0,sdnof-7minutes,10
2207,0.0,sdnof-7minutes,10
2208,0.0,sdnof-7minutes,10
2209,0.0,sdnof-7minutes,10
2210,0.0,sdnof-7minutes,10
2211,0.0,sdnof-7minutes,10
2212,0.0,sdnof-7minutes,10
2213,0.0,sdnof-7minutes,10
2214,0.0,sdnof-7minutes,10
2215,0.0,sdnof-7minutes,10
2216,0.0,sdnof-7minutes,10
2217,0.0,sdnof-7minutes,10
2218,0.0,sdnof-7minutes,10
2219,0.0,sdnof-7minutes,10
2220,0.0,sdnof-7minutes,10
2221,0.0,sdnof-7minutes,10
2222,0.0,sdnof-7minutes,10
2223,0.0,sdnof-7minutes,10
2224,0.0,sdnof-7minutes,10
2225,0.0,sdnof-7minutes,10
2226,0.0,sdnof-7minutes,10
2227,0.0,sdnof-7minutes,10
2228,0.0,sdnof-7minutes,10
2229,0.0,sdnof-7minutes,10
2230,0.0,sdnof-7minutes,10
2231,0.0,sdnof-7minutes,10
2232,0.0,sdnof-7minutes,10
2233,0.0,sdnof-7minutes,10
2234,0.0,sdnof-7minutes,10
2235,0.0,sdnof-7minutes,10
2236,0.0,sdnof-7minutes,10
2237,0.0,sdnof-7minutes,10
2238,0.0,sdnof-7minutes,10
2239,0.0,sdnof-7minutes,10
2241,0.0,sdnof-7minutes,10
2242,0.0,sdnof-7minutes,10
2243,0.0,sdnof-7minutes,10
2244,0.0,sdnof-7minutes,10
2245,0.0,sdnof-7minutes,10
2247,0.0,sdnof-7minutes,10
2248,0.0,sdnof-7minutes,10
2249,0.0,sdnof-7minutes,10
2250,0.0,sdnof-7minutes,10
2251,0.0,sdnof-7minutes,10
2252,0.0,sdnof-7minutes,10
2253,0.0,sdnof-7minutes,10
2255,0.0,sdnof-7minutes,10
2256,0.0,sdnof-7minutes,10
2257,0.0,sdnof-7minutes,10
2258,0.0,sdnof-7minutes,10
2259,0.0,sdnof-7minutes,10
2261,0.0,sdnof-7minutes,10
2262,0.0,sdnof-7minutes,10
2265,0.0,sdnof-7minutes,10
2266,0.0,sdnof-7minutes,10
2267,0.0,sdnof-7minutes,10
2268,0.0,sdnof-7minutes,10
